年月,來源港,來源洲,臺灣港,TEU
"2022/01","CNNGB","亞洲","TWHPC",96
"2022/01","CNNGB","亞洲","TWKEL",2698
"2022/01","CNNGB","亞洲","TWKHH",5195
"2022/01","CNNGB","亞洲","TWTPE",1344
"2022/01","CNNGB","亞洲","TWTXG",4376
"2022/01","CNSHA","亞洲","TWKEL",20691
"2022/01","CNSHA","亞洲","TWKHH",14514
"2022/01","CNSHA","亞洲","TWTPE",3654
"2022/01","CNSHA","亞洲","TWTXG",14164
"2022/01","HKHKG","亞洲","TWKEL",21668
"2022/01","HKHKG","亞洲","TWKHH",27076
"2022/01","HKHKG","亞洲","TWTPE",4578
"2022/01","HKHKG","亞洲","TWTXG",9283
"2022/01","JPTYO","亞洲","TWKEL",4956
"2022/01","JPTYO","亞洲","TWKHH",14134
"2022/01","JPTYO","亞洲","TWTPE",2672
"2022/01","JPTYO","亞洲","TWTXG",5565
"2022/01","JPYOK","亞洲","TWKEL",3809
"2022/01","JPYOK","亞洲","TWKHH",10683
"2022/01","JPYOK","亞洲","TWTPE",1122
"2022/01","JPYOK","亞洲","TWTXG",1892
"2022/01","KRPUS","亞洲","TWKEL",4314
"2022/01","KRPUS","亞洲","TWKHH",17748
"2022/01","KRPUS","亞洲","TWTPE",2496
"2022/01","KRPUS","亞洲","TWTXG",2573
"2022/01","SGSIN","亞洲","TWKEL",1732
"2022/01","SGSIN","亞洲","TWKHH",17843
"2022/01","SGSIN","亞洲","TWTPE",2111
"2022/01","SGSIN","亞洲","TWTXG",3402
"2022/01","THLCH","亞洲","TWKEL",1517
"2022/01","THLCH","亞洲","TWKHH",14769
"2022/01","THLCH","亞洲","TWTPE",12285
"2022/01","THLCH","亞洲","TWTXG",1942
"2022/01","USLAX","北美洲","TWKEL",1891
"2022/01","USLAX","北美洲","TWKHH",7579
"2022/01","USLAX","北美洲","TWTPE",7346
"2022/01","VNHPH","亞洲","TWKEL",334
"2022/01","VNHPH","亞洲","TWKHH",11812
"2022/01","VNHPH","亞洲","TWTXG",734
"2022/02","CNNGB","亞洲","TWHPC",350
"2022/02","CNNGB","亞洲","TWKEL",1798
"2022/02","CNNGB","亞洲","TWKHH",5591
"2022/02","CNNGB","亞洲","TWTPE",509
"2022/02","CNNGB","亞洲","TWTXG",3682
"2022/02","CNSHA","亞洲","TWKEL",11184
"2022/02","CNSHA","亞洲","TWKHH",10282
"2022/02","CNSHA","亞洲","TWTPE",1316
"2022/02","CNSHA","亞洲","TWTXG",7965
"2022/02","HKHKG","亞洲","TWKEL",14084
"2022/02","HKHKG","亞洲","TWKHH",14590
"2022/02","HKHKG","亞洲","TWTPE",3173
"2022/02","HKHKG","亞洲","TWTXG",7197
"2022/02","JPTYO","亞洲","TWKEL",4083
"2022/02","JPTYO","亞洲","TWKHH",13742
"2022/02","JPTYO","亞洲","TWTPE",2910
"2022/02","JPTYO","亞洲","TWTXG",5417
"2022/02","JPYOK","亞洲","TWKEL",4473
"2022/02","JPYOK","亞洲","TWKHH",11538
"2022/02","JPYOK","亞洲","TWTPE",1370
"2022/02","JPYOK","亞洲","TWTXG",3594
"2022/02","KRPUS","亞洲","TWKEL",4430
"2022/02","KRPUS","亞洲","TWKHH",12795
"2022/02","KRPUS","亞洲","TWTPE",1968
